City,American Indian- and Alaska Native-owned firms percent 2007  ,Mean travel time to work (minutes) workers age 16+ 2006-2010  ,Manufacturers shipments 2007 (1000)  ,Persons under 18 years percent 2010  ,Persons below poverty level percent 2006-2010  ,Foreign born persons percent  2006-2010  ,Native Hawaiian and Other Pacific Islander-owned firms percent 2007  ,Bachelor's degree or higher pct of persons age 25+ 2006-2010  ,Asian persons percent 2010 (a)  ,Persons 65 years and over percent  2010  ,Hispanic-owned firms percent 2007  ,Population 2010  ,Persons reporting two or more races percent 2010  ,Total number of firms 2007  ,Homeownership rate 2006-2010  ,Persons under 5 years percent 2010  ,Persons per household 2006-2010  ,FIPS Code  ,Households 2006-2010  ,Housing units in multi-unit structures percent 2006-2010  ,Persons per square mile 2010  ,Merchant wholesaler sales 2007 (1000)  ,Women-owned firms percent 2007  ,American Indian and Alaska Native persons percent 2010 (a)  ,Asian-owned firms percent 2007  ,Persons of Hispanic or Latino origin percent 2010 (b)  ,Retail sales 2007 (1000)  ,Black-owned firms percent 2007  ,Black persons percent 2010 (a)  ,Housing units 2010  ,White persons percent 2010 (a)  ,Population 2000  ,Retail sales per capita 2007  ,White persons not Hispanic percent 2010  ,Population 2011 estimate  ,Median value of owner-occupied housing units 2006-2010  ,Language other than English spoken at home pct age 5+ 2006-2010  ,Living in same house 1 year &amp; over 2006-2010  ,Population percent change 2000 to 2010  ,Land area in square miles 2010  ,Native Hawaiian and Other Pacific Islander percent 2010 (a)  ,Per capita money income in past 12 months (2010 dollars) 2006-2010  ,Female persons percent 2010  ,Accommodation and food services sales 2007 (1000)  ,High school graduates percent of persons age 25+ 2006-2010  ,Median household income 2006-2010  
South Miami ,F,24.4,NA,0.202,0.14,0.299,F,0.489,0.039,0.13,0.372,11657,0.02,2325,0.695,0.053,2.75,67550,4127,0.323,5137.5,22431000,S,0.003,F,0.431,187501000,S,0.17,5174,0.751,10741,17133,0.354,NA,437900,0.476,0.904,0.085,2.27,Z,29791,0.509,62398000,0.881,57180
Golden Glades ,S,30.4,NA,0.265,0.185,0.425,F,0.155,0.016,0.105,S,33145,0.031,3393,0.575,0.07,3.47,26375,9320,0.418,6797.6,D,0.431,0.003,S,0.185,286367000,0.507,0.728,10915,0.194,32623,NA,0.07,NA,245300,0.601,0.873,0.016,4.88,0.001,15759,0.526,20997000,0.745,40639
Vero Beach South ,F,18.5,NA,0.204,0.122,0.088,F,0.262,0.016,0.212,S,23092,0.017,2260,0.747,0.049,2.45,74200,9407,0.204,2252.9,19945000,S,0.004,S,0.095,471099000,0.027,0.053,11618,0.889,20362,NA,0.822,NA,188200,0.112,0.818,0.134,10.25,Z,25900,0.52,27967000,0.888,44688
Belle Isle ,F,23.2,NA,0.202,0.142,0.089,F,0.402,0.017,0.176,S,5988,0.017,651,0.895,0.041,2.67,5300,2277,0.023,2573.3,698000,0.303,0.002,F,0.111,34714000,S,0.031,2625,0.915,5531,5338,0.83,NA,330000,0.104,0.938,0.083,2.33,0.001,40746,0.501,D,0.959,78203
Naples Park ,F,19.7,NA,0.184,0.122,0.234,F,0.187,0.013,0.149,S,5967,0.026,721,0.612,0.049,2.58,47675,2606,0.103,4851.2,D,0.28,0.002,S,0.226,18588000,F,0.019,3299,0.885,6741,NA,0.725,NA,365600,0.309,0.786,-0.115,1.23,0.001,24023,0.501,13924000,0.91,39855
Wahneta ,F,26.2,NA,0.325,0.409,0.212,F,0.042,0.002,0.071,F,5091,0.024,F,0.588,0.101,3.42,74775,1244,0.048,2262.7,NA,F,0.009,F,0.647,NA,F,0.011,1481,0.651,4731,NA,0.341,NA,82300,0.418,0.862,0.076,2.25,0.001,11010,0.46,NA,0.478,31667
University Park ,F,28.4,NA,0.15,0.147,0.667,F,0.276,0.019,0.204,0.809,26995,0.016,3958,0.66,0.037,2.95,73287,7873,0.298,6796.3,20574000,0.344,0.001,S,0.85,281955000,S,0.045,8431,0.902,26538,NA,0.093,NA,332500,0.914,0.86,0.017,3.97,Z,21556,0.532,33710000,0.777,46008
Lighthouse Point ,F,22.8,NA,0.168,0.063,0.095,F,0.413,0.016,0.221,0.099,10344,0.016,2141,0.835,0.041,2.3,40450,4555,0.417,4483.7,11445000,0.309,0.003,S,0.075,254198000,F,0.017,5774,0.94,10767,22880,0.877,NA,449300,0.132,0.911,-0.039,2.31,Z,57019,0.507,19886000,0.937,69978
Citrus Hills ,F,25.7,NA,0.107,0.069,0.147,F,0.33,0.065,0.45,F,7470,0.01,F,0.95,0.018,2.3,12412,3119,0.088,770.3,NA,F,0.001,F,0.053,NA,F,0.023,4037,0.894,4029,NA,0.853,NA,266500,0.143,0.908,0.854,9.7,0,33696,0.515,NA,0.953,63975
Avon Park ,F,24,NA,0.265,0.264,0.15,F,0.09,0.008,0.173,S,8836,0.043,833,0.59,0.077,2.85,2750,3146,0.275,1235.1,59470000,S,0.003,F,0.292,174368000,S,0.281,4162,0.555,8542,19665,0.413,NA,92700,0.261,0.812,0.034,7.15,Z,12679,0.518,18321000,0.64,28557
Olympia Heights ,F,28.8,NA,0.179,0.121,0.564,F,0.254,0.006,0.233,0.784,13488,0.01,2675,0.831,0.042,2.97,51475,3793,0.016,5084.1,6066000,S,0.003,F,0.858,56004000,S,0.012,4278,0.952,13452,NA,0.132,NA,337400,0.882,0.943,0.003,2.65,0.001,23600,0.519,17275000,0.8,51875
Arcadia ,F,21.8,NA,0.295,0.339,0.222,F,0.135,0.007,0.113,S,7637,0.026,894,0.575,0.093,2.91,1750,2460,0.22,1871.4,16372000,0.229,0.005,F,0.332,248727000,S,0.252,2955,0.529,6604,35980,0.401,NA,105200,0.308,0.798,0.156,4.08,0.001,14822,0.492,16238000,0.67,26754
Lealman ,F,18.8,NA,0.195,0.178,0.091,F,0.095,0.069,0.173,F,19879,0.028,F,0.623,0.057,2.18,39775,9243,0.224,4962.3,NA,F,0.005,F,0.095,NA,F,0.085,10584,0.786,NA,NA,0.729,NA,105500,0.099,0.818,NA,4.01,0.001,18691,0.503,NA,0.763,32315
Valparaiso ,F,17.6,NA,0.136,0.039,0.062,F,0.248,0.036,0.141,S,5036,0.045,378,0.617,0.037,2.14,73675,1700,0.214,425.1,D,0.214,0.006,F,0.055,22004000,F,0.057,1939,0.846,6408,3605,0.808,NA,197400,0.125,0.556,-0.214,11.85,0.002,26106,0.41,2000000,0.941,42841
Cordele ,S,16.7,266156000,0.3,0.422,0.023,F,0.082,0.013,0.135,S,11147,0.011,909,0.389,0.093,2.59,19616,4216,0.367,1099.2,241723000,S,0.001,S,0.033,280293000,S,0.666,4898,0.29,11608,24480,0.279,NA,77700,0.038,0.777,-0.04,10.14,Z,12718,0.551,30212000,0.634,21560
Eatonton ,F,19.1,185194000,0.27,0.251,0.022,F,0.124,0.005,0.137,0.026,6480,0.014,975,0.654,0.082,2.64,26084,2388,0.128,316,62583000,S,0.002,F,0.081,152484000,S,0.573,2744,0.347,6764,23863,0.33,NA,76600,0.092,0.921,-0.042,20.51,0.002,13094,0.538,16166000,0.748,24702
Gainesville ,0.006,22.9,2533207000,0.304,0.228,0.304,F,0.204,0.032,0.106,0.099,33804,0.032,4814,0.36,0.101,2.79,31908,11488,0.506,1058.9,3411875000,0.224,0.006,S,0.416,1138567000,S,0.152,12967,0.542,25578,33354,0.39,NA,178200,0.477,0.778,0.322,31.93,0.002,19554,0.522,116350000,0.664,37866
Gresham Park ,F,30.4,NA,0.242,0.224,0.044,F,0.115,0.003,0.112,F,7432,0.017,456,0.595,0.072,2.75,35240,2966,0.248,2650.5,NA,S,0.001,F,0.015,9455000,0.893,0.89,3362,0.084,9215,NA,0.081,NA,137300,0.065,0.851,-0.193,2.8,0,16813,0.538,D,0.769,35925
Fairburn ,F,30,217749000,0.303,0.093,0.103,F,0.298,0.017,0.069,0.027,12950,0.02,1673,0.629,0.079,2.72,28380,4237,0.256,768.4,758405000,0.366,0.004,0.025,0.119,140223000,0.738,0.699,5430,0.201,5464,13114,0.153,NA,154700,0.13,0.845,1.37,16.85,Z,23710,0.535,11371000,0.873,52449
Sandy Springs ,S,24,NA,0.212,0.085,0.21,F,0.599,0.05,0.108,0.041,93853,0.027,13341,0.514,0.068,2.23,68516,40614,0.539,2493.4,6167947000,0.294,0.003,0.039,0.142,1176884000,0.098,0.2,46955,0.65,85781,14174,0.587,NA,436800,0.231,0.747,0.094,37.64,Z,52561,0.518,250159000,0.941,67260
St. Simons ,F,16.9,NA,0.164,0.037,0.028,F,0.593,0.01,0.25,F,12743,0.007,1686,0.82,0.038,2.12,68040,6055,0.279,799.4,12318000,S,0.001,F,0.022,40312000,F,0.028,9931,0.948,13381,NA,0.933,NA,399500,0.038,0.89,-0.048,15.94,Z,50043,0.538,49110000,0.974,77694
Snellville ,S,33.4,NA,0.246,0.076,0.105,F,0.312,0.033,0.159,S,18242,0.026,4299,0.881,0.058,2.73,71604,6558,0.025,1745.3,68715000,0.292,0.003,0.048,0.074,727076000,0.397,0.3,7069,0.61,15351,36577,0.572,NA,173300,0.133,0.859,0.188,10.45,0.001,26553,0.529,D,0.895,60815
Toccoa ,F,21.2,252353000,0.236,0.244,0.056,F,0.13,0.011,0.183,F,8491,0.026,1178,0.554,0.071,2.59,76756,3222,0.23,893.7,113420000,0.216,0.004,F,0.024,224847000,S,0.218,4195,0.731,9323,24897,0.719,NA,95900,0.067,0.792,-0.089,9.5,0,18453,0.544,21927000,0.718,30368
Kennesaw ,S,31,326285000,0.27,0.112,0.159,F,0.405,0.053,0.073,0.035,29783,0.03,5214,0.69,0.074,2.67,43192,10587,0.222,3155,971635000,0.328,0.004,0.058,0.108,665550000,S,0.223,12328,0.642,21675,21062,0.589,NA,174300,0.208,0.776,0.374,9.44,Z,27165,0.527,76116000,0.936,61355
McDonough ,F,32.9,745713000,0.296,0.142,0.095,F,0.225,0.018,0.086,S,22084,0.026,4041,0.556,0.077,2.69,48624,7179,0.338,1736.8,2760488000,0.261,0.003,0.044,0.061,419271000,0.384,0.582,9063,0.348,8493,23340,0.324,NA,157500,0.118,0.674,1.6,12.72,0.001,20687,0.542,59555000,0.895,48835
Fitzgerald ,F,17.2,355367000,0.281,0.379,0.043,F,0.124,0.009,0.143,S,9053,0.014,860,0.517,0.093,2.6,29528,3330,0.223,1022,D,0.315,0.004,S,0.043,151605000,S,0.514,4083,0.432,8758,16551,0.421,NA,75000,0.061,0.837,0.034,8.86,Z,12970,0.537,18229000,0.699,21878
Skidaway Island ,F,21.7,NA,0.122,0.018,0.065,F,0.714,0.019,0.47,F,8341,0.004,871,0.93,0.027,2.11,71184,3821,0.09,506.7,D,0.288,0.001,F,0.013,D,F,0.008,4353,0.965,6914,D,0.954,NA,492600,0.065,0.906,0.206,16.46,Z,69402,0.525,D,0.989,99698
Duluth ,S,28.5,389726000,0.245,0.074,0.304,F,0.475,0.223,0.072,0.08,26600,0.031,6362,0.576,0.073,2.51,24600,10469,0.404,2661.6,2034165000,0.282,0.004,0.273,0.14,1766715000,0.107,0.202,11313,0.487,22122,68435,0.415,NA,201100,0.376,0.787,0.202,9.99,0.001,29725,0.522,81934000,0.916,59792
Bainbridge ,F,18.1,D,0.272,0.299,0.018,F,0.124,0.008,0.141,S,12697,0.013,1439,0.492,0.077,2.47,4896,4762,0.231,675.4,112663000,0.339,0.003,S,0.041,324558000,S,0.547,5495,0.411,11722,27217,0.396,NA,108500,0.02,0.839,0.083,18.8,0,17236,0.53,22950000,0.725,27356
Whitemarsh Island ,F,20,NA,0.218,0.071,0.071,F,0.415,0.061,0.111,F,6792,0.02,510,0.668,0.056,2.56,82636,2913,0.313,1202.1,NA,0.28,0.001,S,0.03,85691000,S,0.085,3239,0.826,5824,NA,0.805,NA,259200,0.143,0.914,0.166,5.65,Z,34023,0.52,14050000,0.972,56599
Dock Junction ,F,24.6,NA,0.243,0.225,0.089,F,0.085,0.015,0.142,F,7721,0.02,654,0.567,0.072,2.47,23200,3047,0.128,820.7,42984000,0.138,0.002,F,0.112,136123000,S,0.279,3531,0.612,6951,NA,0.578,NA,110000,0.106,0.849,0.111,9.41,0,19737,0.522,38902000,0.771,34912
Forest Park ,F,30.3,748874000,0.281,0.376,0.276,F,0.052,0.079,0.087,S,18468,0.028,1415,0.466,0.096,3.24,30536,5817,0.317,1990.9,954798000,0.24,0.005,0.167,0.343,163460000,0.288,0.377,7354,0.317,21447,7482,0.192,NA,98500,0.423,0.76,-0.139,9.28,0.001,12057,0.477,28432000,0.625,30987
Blakely ,F,15.3,NA,0.291,0.41,0.01,F,0.129,0.005,0.152,F,5068,0.009,770,0.519,0.076,2.68,8536,1860,0.14,288.8,123280000,S,0.003,F,0.02,58541000,S,0.642,2054,0.336,5696,11048,0.327,NA,71700,0.013,0.871,-0.11,17.55,Z,13324,0.551,D,0.757,22154
Marietta ,0.003,27.1,3782850000,0.234,0.185,0.236,F,0.364,0.03,0.101,0.074,56579,0.033,10147,0.448,0.082,2.39,49756,23285,0.513,2451.4,2585290000,0.341,0.005,0.06,0.206,2465734000,0.219,0.315,26918,0.527,58748,37808,0.428,NA,220600,0.286,0.728,-0.037,23.08,0.001,26710,0.511,207513000,0.83,45233
Cusseta-Chattahoochee County,F,15.6,NA,0.271,0.159,0.056,F,0.315,0.022,0.037,F,11267,0.044,341,0.313,0.095,3.39,21017,2537,0.394,45.3,D,0.293,0.007,F,0.124,12987000,0.364,0.188,3376,0.688,NA,934,0.629,NA,91900,0.138,0.516,NA,248.74,0.006,22202,0.375,804000,0.932,51089
Calhoun ,F,20.6,2205580000,0.276,0.219,0.154,F,0.161,0.017,0.12,S,15650,0.029,1933,0.485,0.086,2.53,12456,5651,0.378,1048.2,295468000,0.177,0.005,S,0.25,393421000,S,0.068,6609,0.733,10667,27714,0.647,NA,145500,0.222,0.817,0.467,14.93,0.002,17945,0.51,55548000,0.668,31050
Albany ,S,17.4,3262972000,0.264,0.32,0.023,F,0.191,0.008,0.113,0.007,77434,0.011,5658,0.413,0.079,2.49,1052,29130,0.374,1404.7,1108600000,0.331,0.002,S,0.021,1428520000,0.347,0.716,33436,0.252,76939,18957,0.246,NA,97800,0.035,0.729,0.006,55.13,0.001,17416,0.539,165569000,0.802,30000
Panthersville ,F,30.5,NA,0.257,0.214,0.039,F,0.145,0.003,0.106,F,9749,0.01,838,0.49,0.074,2.62,59080,3946,0.485,2658.6,D,0.563,0.001,S,0.011,103379000,0.807,0.965,4614,0.017,11791,NA,0.015,NA,127200,0.039,0.827,-0.173,3.67,Z,17995,0.556,18641000,0.833,35894
Acworth ,F,34,NA,0.282,0.099,0.163,F,0.303,0.035,0.082,S,20425,0.031,2486,0.707,0.079,2.67,408,7206,0.194,2477.6,19276000,0.229,0.003,F,0.124,341150000,S,0.256,8360,0.625,13422,17590,0.563,NA,168900,0.238,0.815,0.522,8.24,0.001,24413,0.524,47642000,0.859,55355
Druid Hills ,F,18.5,NA,0.14,0.137,0.17,F,0.814,0.11,0.086,F,14568,0.022,1143,0.581,0.035,2.32,24264,4646,0.414,3487.7,D,0.404,0.002,F,0.029,24392000,F,0.077,5420,0.783,12741,NA,0.762,NA,548400,0.205,0.641,0.143,4.18,Z,45438,0.521,18961000,0.977,78269
McRae ,F,19.8,NA,0.178,0.373,0.278,F,0.113,0.015,0.124,F,5740,0.036,F,0.498,0.055,2.31,49084,1590,0.222,1321.7,NA,F,0.004,F,0.276,NA,F,0.402,2000,0.471,2682,NA,0.328,NA,73000,0.251,0.904,1.14,4.34,0.001,13474,0.38,NA,0.684,18750
Roswell ,0.005,26.8,107311000,0.255,0.072,0.197,F,0.529,0.04,0.104,0.051,88346,0.025,12380,0.704,0.074,2.59,67284,32860,0.29,2169.5,1568268000,0.282,0.003,0.042,0.166,1761667000,0.056,0.117,36344,0.747,79334,20213,0.657,NA,304100,0.23,0.846,0.114,40.72,0.001,41216,0.507,181712000,0.929,76481
Augusta-Richmond County (balance),F,19.3,NA,0.246,0.237,0.038,F,0.205,0.017,0.113,F,195844,0.026,F,0.565,0.074,2.49,4204,72731,0.26,647.5,NA,F,0.003,F,0.041,NA,F,0.547,84427,0.391,195182,NA,0.374,NA,99400,0.064,0.773,0.003,302.47,0.002,20629,0.516,NA,0.824,37609
Alpharetta ,F,25.8,NA,0.288,0.036,0.21,F,0.627,0.134,0.074,0.039,57551,0.027,8975,0.668,0.065,2.68,1696,20454,0.313,2138.6,18722150000,0.289,0.002,0.097,0.085,1941270000,0.063,0.109,23029,0.7,34854,39269,0.65,NA,330700,0.242,0.817,0.651,26.91,0.001,44489,0.513,377073000,0.965,90450
Carrollton ,F,20.6,2096843000,0.204,0.321,0.097,F,0.276,0.014,0.099,S,24388,0.028,2558,0.381,0.066,2.43,13492,8994,0.435,1094.2,288679000,0.254,0.004,S,0.108,629867000,S,0.319,9734,0.584,19843,27627,0.539,NA,169000,0.134,0.631,0.229,22.29,Z,18251,0.525,83142000,0.776,31533
Loganville ,F,36.6,NA,0.288,0.138,0.132,F,0.249,0.023,0.125,S,10458,0.022,3347,0.691,0.074,2.61,47196,3662,0.101,1424.6,82761000,0.279,0.003,0.056,0.068,410847000,S,0.221,4176,0.7,5435,39139,0.666,NA,163700,0.123,0.82,0.924,7.34,0.001,23066,0.54,36163000,0.811,55735
Athens-Clarke County (balance),F,18.5,NA,0.175,0.338,0.111,F,0.415,0.042,0.084,F,115452,0.022,F,0.453,0.06,2.5,3440,41421,0.438,992.2,NA,F,0.002,F,0.105,NA,F,0.266,50475,0.618,100266,NA,0.569,NA,161700,0.135,0.727,0.151,116.36,0.001,19748,0.526,NA,0.843,33940
Camilla ,S,15,D,0.283,0.212,0.002,S,0.119,0.009,0.13,S,5360,0.008,S,0.506,0.085,2.73,12624,1993,0.198,863.7,129015000,S,0.003,S,0.046,96686000,S,0.692,2154,0.249,5669,17538,0.244,NA,79600,0.009,0.958,-0.055,6.21,0,15603,0.532,8841000,0.657,28630
Conley ,F,26.1,NA,0.31,0.182,0.225,F,0.084,0.033,0.069,F,6228,0.021,344,0.637,0.092,3.24,19280,2095,0.18,3242.1,44292000,S,0.004,S,0.238,19907000,S,0.576,2290,0.197,6188,NA,0.143,NA,107800,0.365,0.877,0.006,1.92,Z,15912,0.507,NA,0.686,40058
Candler-McAfee ,S,35.8,NA,0.222,0.252,0.024,F,0.146,0.002,0.142,F,23025,0.013,1745,0.6,0.061,2.62,12834,8575,0.259,3286,D,0.434,0.003,S,0.013,57600000,0.801,0.913,10097,0.064,28294,NA,0.061,NA,137300,0.042,0.803,-0.186,7.01,Z,17939,0.53,12980000,0.801,36380
LaGrange ,F,17.9,1613211000,0.275,0.294,0.054,F,0.208,0.025,0.128,S,29588,0.018,3253,0.464,0.083,2.59,44340,10666,0.284,748.9,365480000,0.291,0.002,0.028,0.047,670225000,S,0.48,12846,0.445,25998,23992,0.432,NA,125100,0.076,0.713,0.138,39.51,0.001,17733,0.538,71676000,0.744,30752
Hapeville ,F,29,NA,0.243,0.343,0.328,F,0.171,0.057,0.079,F,6373,0.033,697,0.382,0.086,2.82,36472,2202,0.35,2648.8,D,S,0.006,S,0.351,108830000,S,0.288,2901,0.428,6180,18257,0.289,NA,129900,0.446,0.648,0.031,2.41,Z,16639,0.473,73922000,0.738,34167
Atlanta ,0.006,25.8,5304252000,0.194,0.226,0.078,F,0.45,0.031,0.098,0.024,420003,0.02,50970,0.479,0.064,2.16,4000,178447,0.534,3154.3,7523615000,0.334,0.002,0.044,0.052,5594126000,0.309,0.54,224573,0.384,416474,10767,0.363,NA,231800,0.106,0.754,0.008,133.15,Z,35453,0.502,2743688000,0.862,45171
Douglasville ,F,32.9,NA,0.283,0.159,0.074,F,0.285,0.018,0.068,0.034,30961,0.028,4535,0.535,0.082,2.6,23900,11134,0.353,1378.2,57487000,0.381,0.002,0.038,0.072,1034466000,0.411,0.559,13163,0.36,20065,35052,0.334,NA,170800,0.096,0.734,0.543,22.46,0.001,26002,0.532,145236000,0.897,47596
Auburn ,F,35.5,NA,0.284,0.081,0.051,F,0.147,0.041,0.063,F,6887,0.021,999,0.826,0.078,2.85,4140,2494,0.032,1068.1,8010000,S,0.004,F,0.077,40514000,S,0.049,2543,0.853,6904,5369,0.813,NA,124700,0.065,0.815,-0.002,6.45,Z,20177,0.491,945000,0.84,50214
Jackson ,F,21.8,NA,0.241,0.239,0.056,F,0.14,0.005,0.18,F,5045,0.021,F,0.609,0.071,2.4,41596,1973,0.199,810.1,NA,F,0.002,F,0.029,NA,F,0.409,2185,0.553,3934,NA,0.542,NA,109500,0.063,0.878,0.282,6.23,0,19300,0.552,NA,0.8,32555
Martinez ,F,20.8,D,0.26,0.067,0.065,F,0.362,0.055,0.11,0.01,35795,0.029,3065,0.78,0.06,2.76,50036,12640,0.14,2466.7,74462000,0.271,0.003,S,0.043,606955000,S,0.127,14486,0.772,27749,NA,0.747,NA,146700,0.085,0.873,0.29,14.51,0.002,30085,0.518,38274000,0.932,63862
Centerville ,S,19.1,NA,0.239,0.098,0.073,S,0.244,0.041,0.13,S,7148,0.027,S,0.761,0.071,2.62,14920,2579,0.07,1813.8,D,S,0.005,S,0.059,39412000,S,0.199,3135,0.708,4278,5574,0.674,NA,133500,0.081,0.817,0.671,3.94,Z,26644,0.513,4818000,0.913,62720
East Point ,F,31.2,295907000,0.259,0.187,0.093,F,0.244,0.008,0.087,0.026,33712,0.02,2643,0.475,0.079,2.58,25720,13102,0.415,2297.4,437850000,0.361,0.004,S,0.115,271192000,0.566,0.746,17225,0.161,39595,6261,0.118,NA,149400,0.156,0.79,-0.149,14.67,Z,21266,0.526,119749000,0.818,42050
Johns Creek ,F,30.2,D,0.308,0.049,0.245,F,0.64,0.234,0.067,S,76728,0.024,7889,0.826,0.06,2.97,42425,24300,0.135,2497,327764000,0.268,0.001,0.126,0.052,409183000,0.068,0.092,27744,0.635,NA,6881,0.599,NA,349200,0.296,0.876,NA,30.73,Z,45033,0.514,85317000,0.973,106950
Fort Oglethorpe ,F,20.5,72228000,0.221,0.185,0.043,F,0.158,0.027,0.191,F,9263,0.024,474,0.533,0.06,2.24,30956,3803,0.395,666.8,8630000,S,0.003,F,0.027,374298000,F,0.047,4278,0.886,6940,39189,0.876,NA,117500,0.053,0.779,0.335,13.89,0.001,19630,0.553,41984000,0.799,34108
Americus ,F,15.5,295866000,0.268,0.339,0.037,F,0.225,0.018,0.114,F,17041,0.012,1518,0.475,0.086,2.7,2116,6118,0.342,1515.8,202290000,0.225,0.003,S,0.046,258260000,0.203,0.635,7135,0.306,17013,15594,0.294,NA,86900,0.056,0.806,0.002,11.24,Z,17020,0.555,30188000,0.783,29549
Commerce ,F,20.9,NA,0.25,0.224,0.045,F,0.095,0.011,0.165,F,6544,0.02,820,0.609,0.071,2.46,19112,2525,0.135,558.7,D,0.135,0.004,F,0.077,195086000,S,0.135,2800,0.791,5292,30727,0.761,NA,110800,0.07,0.828,0.237,11.71,Z,18081,0.537,4036000,0.763,40094
Fair Oaks ,F,32.1,NA,0.308,0.338,0.3,F,0.1,0.006,0.046,S,8225,0.043,506,0.367,0.119,2.76,28520,2319,0.428,4177.2,27112000,S,0.009,F,0.527,85743000,S,0.221,3475,0.499,8443,NA,0.238,NA,103800,0.446,0.65,-0.026,1.97,0.001,13442,0.457,3684000,0.633,28635
Lilburn ,0.036,26.7,66563000,0.266,0.119,0.364,F,0.334,0.152,0.108,S,11596,0.028,3028,0.716,0.071,3,46356,3878,0.171,1835.7,117000000,0.237,0.005,0.27,0.274,382678000,0.122,0.164,4219,0.527,11307,33115,0.393,NA,179800,0.448,0.876,0.026,6.32,Z,24605,0.506,36157000,0.815,61139
Griffin ,F,26.6,787960000,0.271,0.289,0.035,F,0.174,0.011,0.125,S,23643,0.018,2570,0.456,0.085,2.48,35324,9342,0.297,1699.1,567778000,0.365,0.003,S,0.04,542783000,0.335,0.522,10524,0.428,23451,23131,0.411,NA,128600,0.063,0.755,0.008,13.92,0.001,18905,0.529,71451000,0.715,32116
Richmond Hill ,F,22.8,NA,0.33,0.127,0.073,F,0.277,0.029,0.075,S,9281,0.037,1358,0.578,0.089,2.63,65044,3374,0.223,642.6,92613000,0.281,0.004,S,0.075,178369000,S,0.169,3615,0.742,6959,17534,0.699,NA,174400,0.112,0.738,0.334,14.44,0.002,27461,0.529,30073000,0.936,52294
Moultrie ,F,17.5,D,0.276,0.34,0.094,F,0.101,0.007,0.147,S,14268,0.017,1402,0.423,0.089,2.59,53060,5273,0.314,873.1,77197000,0.224,0.003,S,0.102,359208000,S,0.495,6178,0.426,14387,23793,0.385,NA,98200,0.127,0.681,-0.008,16.34,0.001,16762,0.526,31008000,0.74,23861
Warner Robins ,F,20,181938000,0.28,0.162,0.054,F,0.207,0.026,0.093,0.026,66588,0.032,3834,0.572,0.084,2.53,80508,24892,0.264,1898.8,59886000,0.321,0.004,0.091,0.076,1080610000,0.208,0.371,29084,0.532,48804,18092,0.5,NA,111400,0.085,0.759,0.364,35.07,0.002,22042,0.522,121369000,0.849,45109
Cairo ,F,26.4,D,0.27,0.355,0.072,F,0.103,0.007,0.136,F,9607,0.021,496,0.542,0.087,2.66,12400,3593,0.132,991.8,32306000,0.458,0.006,F,0.144,123130000,0.476,0.482,4032,0.405,9239,12830,0.356,NA,88600,0.119,0.899,0.04,9.69,0.001,14535,0.529,9355000,0.728,28785
Peachtree City ,F,28.3,1622651000,0.275,0.05,0.099,F,0.523,0.053,0.12,S,34364,0.024,4297,0.777,0.047,2.72,59724,12600,0.149,1400.4,620071000,0.268,0.003,0.06,0.071,533244000,S,0.074,13538,0.823,31580,15527,0.78,NA,279800,0.121,0.862,0.088,24.54,0.001,40029,0.517,83438000,0.964,92647
Irondale ,F,38.7,NA,0.327,0.111,0.134,F,0.153,0.014,0.05,F,7446,0.03,499,0.691,0.085,3.07,41347,2423,0,2360.1,D,S,0.006,F,0.252,31149000,S,0.585,2626,0.24,7727,NA,0.139,NA,116400,0.233,0.84,-0.036,3.16,0.001,17408,0.519,736000,0.843,46498
Tifton ,F,13.4,180135000,0.253,0.292,0.062,F,0.18,0.019,0.123,F,16350,0.017,2334,0.503,0.082,2.53,76476,6071,0.314,1309,313165000,0.248,0.002,S,0.114,597191000,0.115,0.363,6752,0.523,15060,34893,0.494,NA,114900,0.121,0.75,0.086,12.49,Z,17506,0.528,85326000,0.765,29386
Villa Rica ,S,32.4,570676000,0.307,0.159,0.068,F,0.228,0.017,0.081,0.03,13956,0.028,1594,0.592,0.092,2.63,79528,4751,0.239,980.1,510824000,0.283,0.003,S,0.076,287375000,S,0.335,5810,0.583,4134,23373,0.548,NA,163600,0.092,0.741,2.376,14.24,Z,21800,0.531,28774000,0.848,45216
Adel ,F,24.8,D,0.268,0.3,0.072,F,0.124,0.01,0.144,F,5334,0.014,758,0.593,0.079,2.64,576,1900,0.109,662,8105000,S,0.002,S,0.079,101801000,S,0.454,2368,0.469,5307,18993,0.449,NA,89600,0.12,0.728,0.005,8.06,0,16856,0.519,15948000,0.751,31458
Tucker ,S,25.6,461882000,0.225,0.059,0.183,F,0.475,0.074,0.152,0.047,27581,0.027,3709,0.739,0.065,2.37,77652,11166,0.221,2302.3,1340547000,0.288,0.004,0.103,0.106,503162000,0.138,0.223,11894,0.63,26532,NA,0.578,NA,222200,0.224,0.871,0.04,11.98,0.001,33066,0.517,71504000,0.901,63529
Stockbridge ,S,31.7,NA,0.305,0.101,0.148,F,0.319,0.076,0.063,S,25636,0.037,2763,0.638,0.078,2.64,73704,8975,0.285,1926.1,D,S,0.003,S,0.095,391918000,0.412,0.557,10312,0.288,9853,27819,0.25,NA,168000,0.177,0.8,1.602,13.31,0.001,25004,0.536,39691000,0.886,55522
